Entidad;Actividad;Dirección
Corp. Perpetuo Socorro;Articulador del Distrito Creativo;Calle 35 # 46-63
Mattelsa;Empresa de tecnología y filosofía que hace ropa;Calle 35 # 46-63
Bodega/Comfama;Centro Creativo y Cultural, la casa del emprendimiento;Calle 34 # 45a-18
ELPAUER;Fortalecimiento para el ecosistema creativo y cultural;Calle 34 # 45a-18
Compas Urbano;Agencia de apropiación de ciudad, turismo;Calle 34 # 45a-18
Ruta Naranja;Coworking - Landing de empresas;Carrera 45 # 32-47
Dot Arquitectura + Diseño SAS;Diseño arquitectónico;Carrera 45 # 32-47
Metrónoma;Gestión y producción musical y de artes escénicas clásicas;Carrera 45 # 32-47
Las Manos Estudio;Diseño y comunicación de marca;Carrera 45 # 32-47
Aristas Studios;Desarrollo videojuegos y contenido multimedial interactivo ;Carrera 45 # 32-47
Virtual Space Technology SAS;Desarrolladora de contenidos digitales en soluciones TIC'S;Carrera 45 # 32-47
Click Green Colombia;Economía circular y colaborativa, Fintech Verde ;Carrera 45 # 32-47
Gratu;Productos para la organziación como planeadores y cuadernos ;Carrera 45 # 32-47
Medellín Music Week;Plataforma para potenciar la industria musical de Col y Latinoamérica;Carrera 45 # 32-47
Ciudad Creativa Lab;Formulación y gestión de proyectos culturales y creativos;Carrera 45 # 32-47
Innpulce;Lab de innovación para negocios de base tecnológica en Economía Circular;Carrera 45 # 32-47
Blacktigre;Soluciones de movilidad urbana alternativa, sostenible y práctica ;Carrera 45 # 32-47
Distrito Cafetero;Fábrica de café y restaurante;Carrera 45 # 31-274
La Fábrica;Fábrica de café y coworking;Carrera 50 # 34-62 
Uman;Empaques compostables;Carrera 48 # 35-71
Dimétrica;Arquitectura;Carrera 48 # 35-71
Cristal Up;Productos para manos y pies;Carrera 48 # 35-71
Herbiota;Diseño del paisaje;Carrera 48 # 35-71
La Casa de Carlota;Laboratorio de creatividad, estrategia y marca desde la neurodiversidad.;Carrera 48 # 35-71
The Chef is Back;Innovación gastronómica;Calle 35 # 46-52
Elements Danza;Academia de danza urbana;Carrera 50 # 34-7 
Cannaxia Labs;Productos de cannabis cosméticos y medicinales;Calle 35 # 46-34
Hub Innovación SENA;Centro para la cuarta revolución industrial;Carrera 45 # 31-34
3 Cordilleras;Cervecería artesanal;Calle 30 # 44-176
Fundación Puntos Verdes;Reciclaje de desechos electrónicos;Carrera 51 # 32-102
Agrofácil ;Productos para agricultura;Carrera 51 # 32-80
La Planta Cervecería;Cervecería artesanal;Carrera 45 # 32-127
La Pola Records;Cervecería artesanal;Calle 34 # 45-07 Interior 202
Kattakao;Fábrica de Chocolates;Calle 34 # 45-07 Interior 201
Juliana's Taquería;Gastronomía mexicana;Calle 34 # 45-07 
Cosmo Schools;Colegio Comfama;Carrera 46 # 31-60
Elemental CMB;Cocina, mesa y bar (implementos);Carrera 50 # 36-08 
Grupo Citic;Diseño y fabricación de ambientes (BTL);Carrera 46 # 35-98
Fundación El Arte de los Sueños;Transformador de vidas a través del arte;Carrera 48 # 35-47
Wolvez Training Club;Preparación física para bailarines y aficionados;Calle 30 # 44-214
Polymasters;Impresión 3D;Carrera 45 # 31-49
BATx;Diseño de sistemas de almacenamientos de energía con baterías recicladas;Carrera 45 # 31-49
Divegráficas;Litografía / Insumos ecológicos;Calle 50 # 35-62
Rendo;Estudio de Arte (El ClassRoom);Calle 33 # 44a-59
Mide Carpintería;Mobiliario hogar y comercial;Carrera 45 # 32-95
HUA;Suplementos con extractos de hongos, plantas, vitaminas y minerales ;Carrera 45 # 32-95
Comprame Pues;Tienda de accesorios ;Carrera 45 #30-02
Clope;Tienda ropa de segunda mano;Carrera 45 #30-02
Fokal;Consultoría consciente, dirección estratégica para empresas ;Carrera 46 # 36-41
Almacentro;Centro Comercial;Carrera 43 # 34-95
VIVA ;Empresa de Vivienda e Infraestructura de Antioquia - Gonernación de Ant.;Carrera 43 # 34-95
Makaia;Tecnología e Innovación;Carrera 43 # 34-95
Taller Motorkia;Taller Mecánico;Calle 35 # 46-16
Taller sistema mecánica eléctrica automotriz;Taller Mecánico;Calle 35 # 46-16
Taller Ceenetros;Taller Mecánico;Calle 35 # 46-12
Autoinyelectric;Taller Mecánico;Carrera 48 # 34-61 
M&R Servicentro Automotriz;Taller Mecánico;Carrera 48 # 34-61 
Grupo EXA - Turbodiesel;Motores diesel, autopartes y tecnología - inteligenicia artificial;Calle 31 # 46-33
Impleseg;Seguridad industrial, EPP, extintores y equipos contra incendio;Calle 31 # 46-33
Hospital General de Medellín;Hospital;Carrera 48 # 32-102
Iglesia del Perpetuo Socorro;Templo católico;Calle 35 # 48-8
Filarmed;Orquesta Filarmónica de Medellín;Calle 35 # 48-8
Ballet Metropolitano;Escuela de ballet clásico;Palermo Cultural Poblado
UPB;Universidad;UPB Laureles
